mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	226								
12	11	81/2	81/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	227								
12	11	165/4	165/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	228								
12	11	83/2	83/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	229								
12	11	169/4	169/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	230								
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	231								
12	11	81/2	81/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4+	b3	
12	11	81/2	81/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	232								
12	11	41	41	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	233								
12	11	83/2	83/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	5	4		
12	11	83/2	83/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	234								
12	11	42	42	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	235								
12	11	169/4	169/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#			
12	11	85/2	85/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	236								
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	1	1	1/16	1/16	1	237								
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	2	1	1/16	1/16	1	238								
13	11	177/4	177/4	0.0	1/16	15/16	FiguredBass	4/4	3	1	0							5/16	#			
13	11	177/4	177/4	0.25	1/16	15/16	Chord	4/4	3	1	1/16	1/16	1	239								
14	12	89/2	89/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	240								
14	12	46	46	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	241								
14	12	93/2	93/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	242								
14	12	48	48	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	243								
14	12	89/2	89/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	244								
14	12	46	46	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	245								
14	12	93/2	93/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	246								
14	12	48	48	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	247								
14	12	89/2	89/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	248								
14	12	45	45	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	249								
14	12	91/2	91/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6			
14	12	91/2	91/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	250								
14	12	46	46	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	251								
14	12	93/2	93/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	252								
14	12	47	47	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	253								
14	12	95/2	95/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	6			
14	12	95/2	95/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	254								
14	12	48	48	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6b			
14	12	48	48	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	255								
15	13	97/2	97/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	256								
15	13	50	50	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	257								
15	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	258								
15	13	52	52	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	259								
15	13	209/4	209/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	260								
15	13	97/2	97/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	261								
15	13	50	50	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	262								
15	13	101/2	101/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	263								
15	13	52	52	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	264								12
15	13	209/4	209/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	265								
15	13	97/2	97/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6			
15	13	97/2	97/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	266								
15	13	49	49	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	267								
15	13	99/2	99/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	6b			
15	13	99/2	99/2	0.5	1/4	1/4	Chord	4/4	3	1	1/8	1/8	1	268								
15	13	50	50	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	6	5		
15	13	50	50	0.5	3/8	3/8	Chord	4/4	3	1	1/8	1/8	1	269								
15	13	101/2	101/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	9			
15	13	101/2	101/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	270								
15	13	51	51	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	271								
15	13	103/2	103/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
15	13	103/2	103/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	272								
15	13	52	52	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	273								
16	14	105/2	105/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	274								
16	14	53	53	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	275								
16	14	107/2	107/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	276								
16	14	217/4	217/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	277								
16	14	109/2	109/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	278								
16	14	56	56	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	279								
16	14	105/2	105/2	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	280								
16	14	111/2	111/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	281								
16	14	105/2	105/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6			
16	14	105/2	105/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	282								
16	14	107/2	107/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	5			
16	14	107/2	107/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	283								
16	14	109/2	109/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	4	3		
16	14	109/2	109/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	284								
16	14	111/2	111/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
16	14	111/2	111/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	285								
17	15	113/2	113/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	286								13
17	15	227/4	227/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	287								13
17	15	57	57	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	288								
17	15	115/2	115/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	289								
17	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	290								
17	15	117/2	117/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	291								
17	15	60	60	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	292								
17	15	241/4	241/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	293								
17	15	113/2	113/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	294								
17	15	57	57	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	295								
17	15	115/2	115/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	296								
17	15	233/4	233/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	297								
17	15	117/2	117/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	298								
17	15	60	60	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	299								
17	15	241/4	241/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	300								
17	15	113/2	113/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6	5		
17	15	113/2	113/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	301								
17	15	115/2	115/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	5	4		
17	15	115/2	115/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	302								
17	15	58	58	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	3			
17	15	117/2	117/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	303								
17	15	119/2	119/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	304								
18	16	121/2	121/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	305								
18	16	61	61	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	306								
18	16	62	62	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	307								14
18	16	249/4	249/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	308								
18	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	309								
18	16	63	63	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	310								
18	16	64	64	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	311								
18	16	257/4	257/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	312								
18	16	121/2	121/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	313								
18	16	61	61	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	314								
18	16	123/2	123/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	315								
18	16	249/4	249/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	316								
18	16	125/2	125/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	317								
18	16	63	63	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	318								
18	16	64	64	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	319								15
18	16	257/4	257/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	320								
18	16	121/2	121/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6			
18	16	121/2	121/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	321								
18	16	123/2	123/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6	5		
18	16	123/2	123/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	322								
18	16	125/2	125/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	b			
18	16	125/2	125/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	323								
18	16	127/2	127/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
18	16	127/2	127/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	324								
19	17	129/2	129/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	325								
19	17	65	65	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	326								
19	17	131/2	131/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	327								
19	17	265/4	265/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	328								
19	17	133/2	133/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	329								
19	17	68	68	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	330								16
19	17	273/4	273/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	331								
19	17	129/2	129/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	332								
19	17	65	65	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	333								
19	17	131/2	131/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	334								
19	17	265/4	265/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	335								
19	17	133/2	133/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	336								
19	17	68	68	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	337								
19	17	273/4	273/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	338								
19	17	129/2	129/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4		
19	17	129/2	129/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	339								
19	17	65	65	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	7	5		
19	17	131/2	131/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	b5	4		
19	17	131/2	131/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	340								
19	17	265/4	265/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#			
19	17	133/2	133/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/4	b			
19	17	133/2	133/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	341								
19	17	67	67	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	342								
19	17	135/2	135/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
19	17	135/2	135/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	343								
19	17	68	68	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	344								
20	18	137/2	137/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	345								
20	18	69	69	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	346								
20	18	70	70	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	347								17
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	348								
20	18	141/2	141/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	349								
20	18	71	71	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	350								
20	18	72	72	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	351								
20	18	289/4	289/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	352								
20	18	137/2	137/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	353								
20	18	69	69	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	354								
20	18	139/2	139/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	355								
20	18	281/4	281/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	356								
20	18	141/2	141/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	357								
20	18	143/2	143/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	358								
20	18	137/2	137/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6b			
20	18	137/2	137/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	359								
20	18	139/2	139/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	5b			
20	18	139/2	139/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	360								
20	18	141/2	141/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	361								
20	18	71	71	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	362								
20	18	143/2	143/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	#			
20	18	143/2	143/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	363								
20	18	72	72	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	364								
21	19	145/2	145/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	365								
21	19	73	73	1.0	1/8	1/8	Chord	4/4	1	1	1/4	1/4	1	366								
21	19	74	74	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	367								
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	368								
21	19	149/2	149/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	369								
21	19	75	75	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	370								
21	19	76	76	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	371								18
21	19	305/4	305/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	372								
21	19	145/2	145/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	373								
21	19	73	73	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	374								
21	19	147/2	147/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	375								
21	19	297/4	297/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	376								
21	19	149/2	149/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	377								
21	19	75	75	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	378								
21	19	76	76	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	379								19
21	19	305/4	305/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	380								
21	19	145/2	145/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	6			
21	19	145/2	145/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	381								
21	19	147/2	147/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/4	6	5		
21	19	147/2	147/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	382								
21	19	149/2	149/2	0.5	1/2	1/2	Chord	4/4	3	1	1/8	1/8	1	383								
21	19	75	75	0.5	5/8	5/8	Chord	4/4	3	1	1/8	1/8	1	384								
21	19	151/2	151/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	385								
21	19	76	76	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	386								
22	20	153/2	153/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	387								
22	20	77	77	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	388								
22	20	155/2	155/2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	389								
22	20	78	78	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	390								
22	20	157/2	157/2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	391								
22	20	79	79	1.0	5/8	5/8	Chord	4/4	1	1	1/4	1/4	1	392								
22	20	80	80	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	393								
22	20	153/2	153/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	394								
22	20	77	77	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	395								
22	20	155/2	155/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	396								
22	20	78	78	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	397								
22	20	157/2	157/2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	398								
22	20	79	79	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	399								
22	20	80	80	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	400								
22	20	321/4	321/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	401								
22	20	153/2	153/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/4	b6			
22	20	153/2	153/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	402								
22	20	155/2	155/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							1/8	7	4		
22	20	155/2	155/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	403								
22	20	78	78	0.0	3/8	3/8	FiguredBass	4/4	3	1	0							1/8	3			
22	20	157/2	157/2	0.0	1/2	1/2	FiguredBass	4/4	3	1	0							1/8	6			
22	20	157/2	157/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	404								
22	20	79	79	0.0	5/8	5/8	FiguredBass	4/4	3	1	0							1/8	5			
22	20	159/2	159/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/4	6			
22	20	159/2	159/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	405								
23	21	161/2	161/2	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	406								
23	21	323/4	323/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	407								
23	21	81	81	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	408								
23	21	325/4	325/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	409								
23	21	163/2	163/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	410								
23	21	329/4	329/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	411								
23	21	165/2	165/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	412								
23	21	167/2	167/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	413								
23	21	161/2	161/2	0.75	0	0	Chord	4/4	2	1	3/16	1/8	3/2	414								
23	21	325/4	325/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	415								
23	21	163/2	163/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	416								
23	21	329/4	329/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	417								
23	21	165/2	165/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	418								
23	21	167/2	167/2	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	419								
23	21	84	84	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	420								
23	21	161/2	161/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	6	4		
23	21	161/2	161/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	421								
23	21	81	81	0.0	1/8	1/8	FiguredBass	4/4	3	1	0							1/8	7	5		
23	21	163/2	163/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	5	4		
23	21	163/2	163/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	422								
23	21	329/4	329/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#3			
23	21	165/2	165/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	423								
23	21	167/2	167/2	0.0	3/4	3/4	FiguredBass	4/4	3	1	0							1/8	5	b		
23	21	167/2	167/2	1.0	3/4	3/4	Chord	4/4	3	1	1/4	1/4	1	424								
23	21	84	84	0.0	7/8	7/8	FiguredBass	4/4	3	1	0							1/8	6			
24	22	169/2	169/2	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	425								
24	22	85	85	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	426								
24	22	171/2	171/2	0.75	1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	427								
24	22	345/4	345/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	428								
24	22	173/2	173/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	429								
24	22	169/2	169/2	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	430								
24	22	85	85	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	431								
24	22	171/2	171/2	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	432								
24	22	345/4	345/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	433								
24	22	173/2	173/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	434								
24	22	169/2	169/2	0.0	0	0	FiguredBass	4/4	3	1	0							1/8	7	#		
24	22	169/2	169/2	0.5	0	0	Chord	4/4	3	1	1/8	1/8	1	435								
24	22	85	85	0.5	1/8	1/8	Chord	4/4	3	1	1/8	1/8	1	436								
24	22	171/2	171/2	0.0	1/4	1/4	FiguredBass	4/4	3	1	0							3/16	5	4		
24	22	171/2	171/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	437								
24	22	345/4	345/4	0.0	7/16	7/16	FiguredBass	4/4	3	1	0							1/16	#			
24	22	173/2	173/2	1.5	1/2	1/2	Chord	4/4	3	1	3/8	1/4	3/2	438								
