mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	slur
1	1	0	0	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	0						0
1	1	1/2	1/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	1						
1	1	1	1	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	2						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	3						1
1	1	2	2	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	4						
1	1	5/2	5/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	5						
1	1	3	3	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	6						2
1	1	7/2	7/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	7						
1	1	4	4	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	8						
1	1	9/2	9/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	9						3
1	1	5	5	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	10						
1	1	11/2	11/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	11						
1	1	0	0	2.0	0	0	Chord	12/8	2	1	1/2	1/2	1	12						
1	1	2	2	1.0	1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	13						
1	1	3	3	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	14						
1	1	0	0	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	15						
1	1	2	2	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	16						
1	1	3	3	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	17						
1	1	0	0	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	18						
1	1	2	2	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	19						
1	1	3	3	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	20						
2	2	6	6	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	21						4
2	2	13/2	13/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	22						
2	2	7	7	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	23						
2	2	15/2	15/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	24						5
2	2	8	8	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	25						
2	2	17/2	17/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	26						
2	2	9	9	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	27						6
2	2	19/2	19/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	28						
2	2	10	10	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	29						
2	2	21/2	21/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	30						7
2	2	11	11	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	31						
2	2	23/2	23/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	32						
2	2	6	6	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	33						
2	2	7	7	1.0	1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	34						
2	2	8	8	2.0	1/2	1/2	Chord	12/8	2	1	1/2	1/2	1	35						
2	2	6	6	1.0	0	0	Chord	12/8	3	1	1/4	1/4	1	36						
2	2	7	7	1.0	1/4	1/4	Chord	12/8	3	1	1/4	1/4	1	37						
2	2	8	8	2.0	1/2	1/2	Chord	12/8	3	1	1/2	1/2	1	38						
2	2	6	6	0.0	0	0	FiguredBass	12/8	4	1	0					1/4	6			
2	2	6	6	1.0	0	0	Chord	12/8	4	1	1/4	1/4	1	39						
2	2	7	7	0.0	1/4	1/4	FiguredBass	12/8	4	1	0					1/4	6	5		
2	2	7	7	1.0	1/4	1/4	Chord	12/8	4	1	1/4	1/4	1	40						
2	2	8	8	2.0	1/2	1/2	Chord	12/8	4	1	1/2	1/2	1	41						
3	3	12	12	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	42						8
3	3	25/2	25/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	43						
3	3	13	13	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	44						
3	3	27/2	27/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	45						9
3	3	14	14	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	46						
3	3	29/2	29/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	47						
3	3	15	15	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	48						10
3	3	31/2	31/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	49						
3	3	16	16	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	50						
3	3	33/2	33/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	51						11
3	3	17	17	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	52						
3	3	35/2	35/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	53						
3	3	12	12	2.0	0	0	Chord	12/8	2	1	1/2	1/2	1	54						
3	3	14	14	1.0	1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	55						
3	3	15	15	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	56						
3	3	12	12	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	57						
3	3	14	14	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	58						
3	3	15	15	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	59						
3	3	12	12	0.0	0	0	FiguredBass	12/8	4	1	0					1/2	6			
3	3	12	12	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	60						
3	3	14	14	0.0	1/2	1/2	FiguredBass	12/8	4	1	0					1/4	7			
3	3	14	14	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	61						
3	3	15	15	0.0	3/4	3/4	FiguredBass	12/8	4	1	0					1/4	h			
3	3	15	15	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	62						
4	4	18	18	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	63						12
4	4	37/2	37/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	64						
4	4	19	19	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	65						
4	4	39/2	39/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	66						13
4	4	20	20	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	67						
4	4	41/2	41/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	68						
4	4	21	21	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	69						14
4	4	43/2	43/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	70						
4	4	22	22	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	71						
4	4	45/2	45/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	72						15
4	4	23	23	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	73						
4	4	47/2	47/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	74						
4	4	18	18	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	75						
4	4	19	19	1.0	1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	76						
4	4	20	20	1.0	1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	77						
4	4	21	21	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	78						
4	4	18	18	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	79						
4	4	20	20	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	80						
4	4	21	21	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	81						
4	4	18	18	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	82						
4	4	20	20	0.0	1/2	1/2	FiguredBass	12/8	4	1	0					1/4	6			
4	4	20	20	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	83						
4	4	21	21	0.0	3/4	3/4	FiguredBass	12/8	4	1	0					1/4	6	5		
4	4	21	21	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	84						
5	5	24	24	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	85						16
5	5	49/2	49/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	86						
5	5	25	25	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	87						
5	5	51/2	51/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	88						17
5	5	26	26	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	89						
5	5	53/2	53/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	90						
5	5	27	27	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	91						18
5	5	55/2	55/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	92						
5	5	28	28	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	93						
5	5	57/2	57/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	94						19
5	5	29	29	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	95						
5	5	59/2	59/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	96						
5	5	24	24	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	97						
5	5	25	25	1.0	1/4	1/4	Chord	12/8	2	1	1/4	1/4	1	98						
5	5	26	26	1.0	1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	99						
5	5	27	27	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	100						
5	5	24	24	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	101						
5	5	26	26	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	102						
5	5	27	27	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	103						
5	5	24	24	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	104						
5	5	26	26	0.0	1/2	1/2	FiguredBass	12/8	4	1	0					1/4	b6			
5	5	26	26	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	105						
5	5	27	27	0.0	3/4	3/4	FiguredBass	12/8	4	1	0					1/4	b5			
5	5	27	27	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	106						
6	6	30	30	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	107						20
6	6	61/2	61/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	108						
6	6	31	31	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	109						
6	6	63/2	63/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	110						21
6	6	32	32	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	111						
6	6	65/2	65/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	112						
6	6	33	33	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	113						22
6	6	67/2	67/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	114						
6	6	34	34	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	115						
6	6	69/2	69/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	116						23
6	6	35	35	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	117						
6	6	71/2	71/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	118						
6	6	30	30	1.0	0	0	Chord	12/8	2	1	1/4	1/4	1	119						
6	6	31	31	2.0	1/4	1/4	Chord	12/8	2	1	1/2	1/2	1	120						
6	6	33	33	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	121						
6	6	30	30	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	122						
6	6	32	32	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	123						
6	6	33	33	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	124						
6	6	30	30	0.0	0	0	FiguredBass	12/8	4	1	0					1/4	5			
6	6	30	30	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	125						
6	6	31	31	0.0	1/4	1/4	FiguredBass	12/8	4	1	0					1/4	6			
6	6	32	32	0.0	1/2	1/2	FiguredBass	12/8	4	1	0					1/4	7			
6	6	32	32	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	126						
6	6	33	33	0.0	3/4	3/4	FiguredBass	12/8	4	1	0					1/4	5			
6	6	33	33	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	127						
7	7	36	36	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	128						24
7	7	73/2	73/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	129						
7	7	37	37	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	130						
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	131						25
7	7	38	38	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	132						
7	7	77/2	77/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	133						
7	7	39	39	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	134						26
7	7	79/2	79/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	135						
7	7	40	40	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	136						
7	7	81/2	81/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	137						27
7	7	41	41	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	138						
7	7	83/2	83/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	139						
7	7	36	36	1.5	0	0	Chord	12/8	2	1	3/8	1/4	3/2	140						
7	7	75/2	75/2	0.5	3/8	3/8	Chord	12/8	2	1	1/8	1/8	1	141						
7	7	38	38	2.0	1/2	1/2	Chord	12/8	2	1	1/2	1/2	1	142						
7	7	36	36	1.0	0	0	Chord	12/8	3	1	1/4	1/4	1	143						
7	7	37	37	1.0	1/4	1/4	Chord	12/8	3	1	1/4	1/4	1	144						
7	7	38	38	2.0	1/2	1/2	Chord	12/8	3	1	1/2	1/2	1	145						
7	7	36	36	0.0	0	0	FiguredBass	12/8	4	1	0					1/4	6	5		
7	7	36	36	1.0	0	0	Chord	12/8	4	1	1/4	1/4	1	146						
7	7	37	37	1.0	1/4	1/4	Chord	12/8	4	1	1/4	1/4	1	147						
7	7	38	38	2.0	1/2	1/2	Chord	12/8	4	1	1/2	1/2	1	148						
8	8	42	42	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	149						28
8	8	85/2	85/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	150						
8	8	43	43	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	151						
8	8	87/2	87/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	152						29
8	8	44	44	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	153						
8	8	89/2	89/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	154						
8	8	45	45	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	155						30
8	8	91/2	91/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	156						
8	8	46	46	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	157						
8	8	93/2	93/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	158						31
8	8	47	47	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	159						
8	8	95/2	95/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	160						
8	8	42	42	2.0	0	0	Chord	12/8	2	1	1/2	1/2	1	161						
8	8	44	44	2.0	1/2	1/2	Chord	12/8	2	1	1/2	1/2	1	162						
8	8	42	42	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	163						
8	8	44	44	2.0	1/2	1/2	Chord	12/8	3	1	1/2	1/2	1	164						
8	8	42	42	0.0	0	0	FiguredBass	12/8	4	1	0					1/2	6			
8	8	42	42	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	165						
8	8	44	44	2.0	1/2	1/2	Chord	12/8	4	1	1/2	1/2	1	166						
9	9	48	48	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	167						32
9	9	97/2	97/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	168						
9	9	49	49	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	169						
9	9	99/2	99/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	170						33
9	9	50	50	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	171						
9	9	101/2	101/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	172						
9	9	51	51	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	173						34
9	9	103/2	103/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	174						
9	9	52	52	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	175						
9	9	105/2	105/2	0.5	9/8	9/8	Chord	12/8	1	1	1/8	1/8	1	176						35
9	9	53	53	0.5	5/4	5/4	Chord	12/8	1	1	1/8	1/8	1	177						
9	9	107/2	107/2	0.5	11/8	11/8	Chord	12/8	1	1	1/8	1/8	1	178						
9	9	48	48	2.0	0	0	Chord	12/8	2	1	1/2	1/2	1	179						
9	9	50	50	1.0	1/2	1/2	Chord	12/8	2	1	1/4	1/4	1	180						
9	9	51	51	1.0	3/4	3/4	Chord	12/8	2	1	1/4	1/4	1	181						
9	9	48	48	2.0	0	0	Chord	12/8	3	1	1/2	1/2	1	182						
9	9	50	50	1.0	1/2	1/2	Chord	12/8	3	1	1/4	1/4	1	183						
9	9	51	51	1.0	3/4	3/4	Chord	12/8	3	1	1/4	1/4	1	184						
9	9	48	48	0.0	0	0	FiguredBass	12/8	4	1	0					1/2	6			
9	9	48	48	2.0	0	0	Chord	12/8	4	1	1/2	1/2	1	185						
9	9	50	50	1.0	1/2	1/2	Chord	12/8	4	1	1/4	1/4	1	186						
9	9	51	51	0.0	3/4	3/4	FiguredBass	12/8	4	1	0					1/4	6			
9	9	51	51	1.0	3/4	3/4	Chord	12/8	4	1	1/4	1/4	1	187						
10	10	54	54	0.5	0	0	Chord	12/8	1	1	1/8	1/8	1	188						36
10	10	109/2	109/2	0.5	1/8	1/8	Chord	12/8	1	1	1/8	1/8	1	189						
10	10	55	55	0.5	1/4	1/4	Chord	12/8	1	1	1/8	1/8	1	190						
10	10	111/2	111/2	0.5	3/8	3/8	Chord	12/8	1	1	1/8	1/8	1	191						37
10	10	56	56	0.5	1/2	1/2	Chord	12/8	1	1	1/8	1/8	1	192						
10	10	113/2	113/2	0.5	5/8	5/8	Chord	12/8	1	1	1/8	1/8	1	193						
10	10	57	57	0.5	3/4	3/4	Chord	12/8	1	1	1/8	1/8	1	194						38
10	10	115/2	115/2	0.5	7/8	7/8	Chord	12/8	1	1	1/8	1/8	1	195						
10	10	58	58	0.5	1	1	Chord	12/8	1	1	1/8	1/8	1	196						
